@relation Aug28_log_50k
@attribute Client string
@attribute Date string
@attribute Time string
@attribute Method string
@attribute Request_Url string
@attribute Request_Protocol string
@attribute HTTP_status_code integer
@attribute Bytes integer
@data
'204.249.225.59','1995-08-28','00:00:34','GET','/pub/rmharris/catalogs/dawsocat/intro.html','HTTP/1.0',200,3542
'world.std.com','1995-08-28','00:00:36','GET','/pub/atomicbk/catalog/sleazbk.html','HTTP/1.0',200,18338
'er6.rutgers.edu','1995-08-28','00:00:37','GET','/pub/rjgula/network.htm','HTTP/1.0',200,2017
'cyclom1-1-6.intersource.com','1995-08-28','00:00:37','GET','/pub/k2/jeep/jxj.htm','HTTP/1.0',200,3254
'd24-1.cpe.Brisbane.aone.net.au','1995-08-28','00:00:38','GET','/pub/eurocent/home.htm','HTTP/1.0',200,2534
'ari.ari.net','1995-08-28','00:00:45','GET','/','HTTP/1.0',200,1834
'freenet3.scri.fsu.edu','1995-08-28','00:00:48','GET','/pub/rjgula/network.htm','HTTP/1.0',200,2017
'kuts4p01.cc.ukans.edu','1995-08-28','00:00:49','GET','/pub/sshay/home.html','HTTP/1.0',200,3145
'd24-1.cpe.Brisbane.aone.net.au','1995-08-28','00:00:55','GET','/pub/eurocent/german.htm','HTTP/1.0',200,1008
'piweba4y.prodigy.com','1995-08-28','00:00:55','GET','/larouche/waco.html','HTTP/1.0',200,14041
'Loki.async.smsu.edu','1995-08-28','00:00:55','GET','/pub/ahasuer/heinlein/about.html','HTTP/1.0',200,7173
'SLIP4A-03.DIALIN.UIC.EDU','1995-08-28','00:00:57','GET','/atomicbk/catalog/catalog.html','HTTP/1.0',200,4654
'freenet3.scri.fsu.edu','1995-08-28','00:00:59','GET','/pub/rjgula/os.htm','HTTP/1.0',200,9175
'kuts4p01.cc.ukans.edu','1995-08-28','00:01:00','GET','/pub/sshay/home.html','HTTP/1.0',200,3145
'205.168.106.58','1995-08-28','00:01:01','GET','/pub/bsleeper/CafeMac.GIF','HTTP/1.0',200,26876
'shep102.wustl.edu','1995-08-28','00:01:01','GET','/pub/pribut/chess.html','HTTP/1.0',200,6585
'165.113.1.43','1995-08-28','00:01:04','GET','/pub/atomicbk/home.html','HTTP/1.0',200,4051
'er6.rutgers.edu','1995-08-28','00:01:06','GET','/pub/rjgula/attacks.htm','HTTP/1.0',200,6950
'prpayne-ppp.clark.net','1995-08-28','00:01:10','GET','/pub/show/tickets.html','HTTP/1.0',200,4260
'ari.ari.net','1995-08-28','00:01:15','GET','/html/faq.html','HTTP/1.0',200,4855
'alweiner.clark.net','1995-08-28','00:01:15','GET','/pub/alweiner/cgi-bin/homepage.cgi?game','HTTP/1.0',200,2131
'd24-1.cpe.Brisbane.aone.net.au','1995-08-28','00:01:17','GET','/pub/eurocent/koln9.htm','HTTP/1.0',200,5701
'pwpark.remote.Princeton.EDU','1995-08-28','00:01:18','GET','/pub/peace/PeaceCorps.html','HTTP/1.0',200,510
'er6.rutgers.edu','1995-08-28','00:01:20','GET','/pub/rjgula/attacks/ftpd/ciacftp.txt','HTTP/1.0',200,515
'pwpark.remote.Princeton.EDU','1995-08-28','00:01:21','GET','/pub/peace/PeaceCorps1.html','HTTP/1.0',200,1208
'Loki.async.smsu.edu','1995-08-28','00:01:22','GET','/pub/ahasuer/heinlein/order.html','HTTP/1.0',200,1563
'pwpark.remote.Princeton.EDU','1995-08-28','00:01:25','GET','/pub/peace/VRS1.html','HTTP/1.0',200,1951
'shep102.wustl.edu','1995-08-28','00:01:27','GET','/pub/pribut/spsport.html','HTTP/1.0',200,3589
'pwpark.remote.Princeton.EDU','1995-08-28','00:01:30','GET','/pub/peace/VRS3.html','HTTP/1.0',200,2563
'137.198.11.104','1995-08-28','00:01:31','GET','/pub/atomicbk/catalog/adultcom.html','HTTP/1.0',200,8705
'204.50.56.205','1995-08-28','00:01:37','GET','/pub/mikebilt/gaydc.html','HTTP/1.0',200,6423
'ppp-mia-94.shadow.net','1995-08-28','00:01:40','GET','/pub/robert/current.html','HTTP/1.0',200,30337
'asn6.whidbey.net','1995-08-28','00:01:41','GET','/pub/k2/suv/suv.htm','HTTP/1.0',200,778
'alweiner.clark.net','1995-08-28','00:01:41','GET','/pub/alweiner/cgi-bin/homepage.cgi','HTTP/1.0',200,10957
'debasement.clark.net','1995-08-28','00:01:42','GET','/pub/tblake/www/','HTTP/1.0',200,3054
'freenet3.scri.fsu.edu','1995-08-28','00:01:43','GET','/pub/rjgula/os/vax/ciacmont.txt','HTTP/1.0',200,741
'ikd7.info.gifu-u.ac.jp','1995-08-28','00:01:44','GET','/pub/terra/news-aug16','HTTP/1.0',200,755
'pfgc.mindspring.com','1995-08-28','00:01:46','GET','/pub/wick/','HTTP/1.0',200,1923
'dialup522.Bloomington.mci.net','1995-08-28','00:01:47','GET','/pub/pribut/spgait.html','HTTP/1.0',200,24163
'piweba5y.prodigy.com','1995-08-28','00:01:47','GET','/pub/jeffd/rushpage.html','HTTP/1.0',200,3801
'metronet.lib.mi.us','1995-08-28','00:01:48','GET','/pub/journalism/info.wav','HTTP/1.0',200,38572
'er6.rutgers.edu','1995-08-28','00:01:48','GET','/pub/rjgula/attacks/ftpd/siteexec.txt','HTTP/1.0',200,1536
'130.34.146.126','1995-08-28','00:01:50','GET','/pub/lschank/human.txt','HTTP/1.0',200,35061
'pwpark.remote.Princeton.EDU','1995-08-28','00:01:50','GET','/pub/peace/VRS9.html','HTTP/1.0',200,2187
'ix-lb7-10.ix.netcom.com','1995-08-28','00:01:54','GET','/pub/mbrophy/the_sandra_page.html','HTTP/1.0',200,1459
'cyclom1-1-6.intersource.com','1995-08-28','00:01:54','GET','/pub/k2/jeep/jyj.htm','HTTP/1.0',200,2585
'dialup040.cc.columbia.edu','1995-08-28','00:01:55','GET','/pub/jeffd/mr_newt.html','HTTP/1.0',200,8305
'pwpark.remote.Princeton.EDU','1995-08-28','00:01:56','GET','/pub/peace/FAQ4.html','HTTP/1.0',200,2518
'pipe3.nyc.pipeline.com','1995-08-28','00:01:56','GET','/pub/journalism/awesome.html','HTTP/1.0',200,11610
'ikd7.info.gifu-u.ac.jp','1995-08-28','00:01:58','GET','/pub/terra/news-aug23','HTTP/1.0',200,1664
'SLIP4A-03.DIALIN.UIC.EDU','1995-08-28','00:01:58','GET','/atomicbk/catalog/sleazmag.html','HTTP/1.0',200,6688
'www-d2.proxy.aol.com','1995-08-28','00:01:58','GET','/pub/rjamesd/holycros.html','HTTP/1.0',200,4507
'shep102.wustl.edu','1995-08-28','00:02:00','GET','/pub/pribut/sphome.html','HTTP/1.0',200,12324
'sl4.ndts1.dsu.NoDak.edu','1995-08-28','00:02:03','GET','/pub/atomicbk/catalog/erotica.html','HTTP/1.0',200,11362
